시군명,구/읍면동명,기관명,시설구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
여주시,가남읍,가남파출소,파출소,12662,경기도 여주시 가남읍 태평리 176번지,경기도 여주시 가남읍 태평2길 23,127.5453981,37.2037308
여주시,금사면,금사파출소,파출소,12604,경기도 여주시 금사면 이포리 198번지 금사파출소,경기도 여주시 금사면 이포로 41,127.5341119,37.3930669
양주시,남면,남면파출소,파출소,11404,경기도 양주시 남면 신산리 285-183번지,경기도 양주시 남면 개나리길 50,126.9740956,37.8951873
양주시,은현면,은현파출소,파출소,11427,경기도 양주시 은현면 선암리 336-3번지,경기도 양주시 은현면 은현로55번길 6,127.0232379,37.8740532
양주시,백석읍,백석파출소,파출소,11504,경기도 양주시 백석읍 오산리 36-5번지,경기도 양주시 백석읍 꿈나무로 142,126.9904608,37.7964201
양주시,덕계동,덕계파출소,파출소,11442,경기도 양주시 덕계동 681-31번지,경기도 양주시 평화로 1427,127.0456757,37.8181979
동두천시,동두천동,소요파출소,파출소,11307,경기도 동두천시 동두천동 252-3번지,경기도 동두천시 평화로 2695,127.0563743,37.9285221
동두천시,광암동,광암파출소,파출소,11321,경기도 동두천시 광암동 495번지,경기도 동두천시 광암로 10,127.0830099,37.8947221
구리시,수택동,수택파출소,파출소,11931,경기도 구리시 수택동 493-5번지 수택파출소,경기도 구리시 검배로71번길 12-5,127.147119,37.596391
포천시,내촌면,내촌파출소,파출소,11189,경기도 포천시 내촌면 내리 389-3번지 내촌파출소,경기도 포천시 내촌면 내촌로 62,127.2272455,37.7854048
포천시,일동면,일동파출소,파출소,11120,경기도 포천시 일동면 기산리 285-6,경기도 포천시 일동면 화동로 1023,127.3156456,37.9550743
포천시,관인면,관인파출소,파출소,11101,경기도 포천시 관인면 탄동리 664-2번지,경기도 포천시 관인면 관인로 15,127.2504803,38.1572485
포천시,영중면,영중파출소,파출소,11129,경기도 포천시 영중면 양문리 847-7번지,경기도 포천시 영중면 양문로 109,127.2427636,38.0025436
포천시,가산면,가산파출소,파출소,11164,경기도 포천시 가산면 마산리 425-1번지,경기도 포천시 가산면 가산로309번길 13,127.1846085,37.846256
포천시,군내면,군내파출소,파출소,11152,경기도 포천시 군내면 구읍리 214-3,경기도 포천시 군내면 청군로 3280,127.2181311,37.8875254
포천시,화현면,화현파출소,파출소,11123,경기도 포천시 화현면 화현리 810-19번지,경기도 포천시 화현면 화동로 327,127.301461,37.8969745
가평군,가평읍,읍내파출소,파출소,12419,경기도 가평군 가평읍 대곡리 213-4번지,경기도 가평군 가평읍 가화로 38,127.5161575,37.823349
가평군,청평면,청평파출소,파출소,12452,경기도 가평군 청평면 청평리 462-3번지,경기도 가평군 청평면 청평중앙로 33,127.4182253,37.7372984
가평군,설악면,설악파출소,파출소,12467,경기도 가평군 설악면 신천리 434-4번지 번길,경기도 가평군 설악면 신천중앙로 115,127.4906672,37.6776391
연천군,백학면,백학파출소,파출소,11048,경기도 연천군 백학면 두일리 367-3번지,경기도 연천군 백학면 청정로 534-1,126.9171275,38.0305321
연천군,신서면,신서파출소,파출소,11000,경기도 연천군 신서면 도신리 285-11번지,경기도 연천군 신서면 연신로 1153,127.1070558,38.1846791
평택시,안중읍,안중파출소,파출소,17937,경기도 평택시 안중읍 현화리 823-3번지,경기도 평택시 안중읍 현화중앙길 71,126.9205505,36.9849968
평택시,청북읍,청북파출소,파출소,17812,경기도 평택시 청북읍 현곡리 291-7번지,경기도 평택시 청북읍 신포길 38,126.934317,37.0395562
평택시,포승읍,만호파출소,파출소,17959,경기도 평택시 포승읍 만호리 578-8번지,경기도 평택시 포승읍 평택항로 170,126.843723,36.9741598
오산시,궐동,궐동파출소,파출소,18115,경기도 오산시 궐동 13-7번지,경기도 오산시 오산로 371,127.0661176,37.1596427
오산시,오산동,중앙파출소,파출소,18137,경기도 오산시 오산동 903-3번지,경기도 오산시 역광장로 70,127.0679415,37.1466936
